Sample_Ref,Priority_sample,Date_Collected,Recorder,Assistant,Sampling_site,Start_Time,Latitude,Longitude,What3Words,Water_Temp_DegC,pH,ORP_mV,Conductivity,Phos_1,Phos_2,Phos_3,Phos_AV,Nitr_1,Nitr_2,Nitr_3,Nitr_AV,Depth1_cm,Depth2_cm,Depth3_cm,Depth4_cm,DepthMean_cm,Met_Temp_DegC,Met_WindSpd_mph,Met_WindDir,Met_UV,Met_Pres_mb,Met_Hum_%,Obs_Weather,Obs_Pollution,Obs_Other,Photo_Up,Photo_Down,Photo_Across,Sample_Type,Sample_Vol_mL,Time_in_fridge,Time_to_fridge,Time_Filtered,Time_to_filtration,Vol_filtered_mL,Date_Extracted,Time_to_extraction_days,Date_of_PCR,PCR_Plate,PCR_Code,PCR_Replicates,Cq_R1,Cq_R2,Cq_R3,Cq_AV,Rel_log_conc,Adj_conc,KS2_HOG_Category,KS2_HOG_Count,KS2_HOG_Score,KS2_TotalScore,KS2_SpRich,NOTES1,NOTES2
W-090923-S4-P1,,09/09/2023,BD,AM,URF-Site4_Downstream,09:30,51.560869,-0.028551,pizza.hips.panel,22.7,,,,,,,,,,,,55,,,,55,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Large patch of foam observed slightly upstream of sampling site (20-30m?),Kingfisher x 1; Little egret x 2; Swan x 2; Cormorant x 1,Y,Y,Y,Edge_Surface,1000,12:20,02:50,13:10,03:40,1000,01/06/2024,266,,,,,,,,,,,,,,,,Pot 3 pooled sample not taken as water too deep and unsteady near riverbank to wade across safely.,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
W-090923-S4-P2,,09/09/2023,BD,AM,URF-Site4_Downstream,09:30,51.560869,-0.028551,pizza.hips.panel,22.7,,,,,,,,,,,,55,,,,55,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Large patch of foam observed slightly upstream of sampling site (20-30m?),Kingfisher x 1; Little egret x 2; Swan x 2; Cormorant x 1,Y,Y,Y,Edge_Depth,1000,12:20,02:50,13:10,03:40,1000,01/06/2024,266,,,,,,,,,,,,,,,,Pot 3 pooled sample not taken as water too deep and unsteady near riverbank to wade across safely.,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
W-090923-S2-P1,Y,09/09/2023,BD,AM,URF-Site2_Mid,10:10,51.560869,-0.034491,trendy.event.counts,23,,,,,,,,,,,,18,,,,18,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Sampling site is upstream of the large patch of foam observed ,,Y,Y,Y,Edge_Surface,1000,12:20,02:10,13:45,03:35,1000,01/06/2024,266,30/07/2024,1,SEP-P1,3,NA,NA,NA,NA,NA,NA,1<10,5,1,7,5,Starting point of sampling was opposite berm. Pot 2 not taken as the depth of the water at the edge meant it would be identical to Pot 1. ,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
W-090923-S2-P3,Y,09/09/2023,BD,AM,URF-Site2_Mid,10:10,51.560869,-0.034491,trendy.event.counts,23,,,,,,,,,,,,18,44,51,49,40.5,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Sampling site is upstream of the large patch of foam observed ,,Y,Y,Y,Transect_Depth,1000,12:20,02:10,13:45,03:35,1000,01/06/2024,266,30/07/2024,1,SEP-P3,3,NA,NA,NA,NA,NA,NA,1<10,5,1,7,5,Starting point of sampling was opposite berm. Pot 2 not taken as the depth of the water at the edge meant it would be identical to Pot 1. ,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
W-090923-S1-P1,,09/09/2023,BD,AM,URF-Site1_Upstream,10:30,51.561516,-0.043596,risks.cabin.reform,22.9,,,,,,,,,,,,16,,,,16,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Foam bubbles directly upstream at sampling site,Grey wagtail,Y,Y,Y,Edge_Surface,1000,12:20,01:50,14:15,03:45,1000,01/06/2024,266,,,,,,,,,,,,,,,,Pot 2 not taken as the depth of the water at the edge meant it would be identical to Pot 1. ,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
W-090923-S1-P3,,09/09/2023,BD,AM,URF-Site1_Upstream,10:30,51.561516,-0.043596,risks.cabin.reform,22.9,,,,,,,,,,,,16,16,24,43,24.8,26,2,SW,M,1017,53,"Hot, dry, sunny day after a week of the same",Foam bubbles directly upstream at sampling site,Grey wagtail,Y,Y,Y,Transect_Depth,1000,12:20,01:50,14:15,03:45,850,01/06/2024,266,,,,,,,,,,,,,,,,Pot 2 not taken as the depth of the water at the edge meant it would be identical to Pot 1. Water in subsamples 2-3 quite brown; sediment caused filter to clog after about 850ml. ,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
NFC-090923-0-4,Y,09/09/2023,BD,N/A,N/A,10:50,51.561516,-0.043596,risks.cabin.reform,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Negative_Field_Control,1000,12:20,01:30,14:55,04:05,1000,01/06/2024,266,30/07/2024,1,SEP-NFC,3,NA,NA,NA,NA,NA,NA,,,,,,NFC pot opened and closed at URF Site 1 at the end of river sampling. PFC not collected because bike punctured and couldn't return to field. ,No gloves taken to field on 9/9/23 - used hand sanitiser instead between samples 
FC-090923-0-6,Y,09/09/2023,BD,N/A,N/A,15:00,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Filtration_Control,1000,,,15:05,00:05,1000,01/06/2024,266,30/07/2024,1,SEP-FC,3,NA,NA,NA,NA,NA,NA,,,,,,Type 2 lab water filtered at end of filtering session. ,
W-141023-S4-P1,,14/10/2023,BD,AM,URF-Site4_Downstream,10:00,51.560869,-0.028551,pizza.hips.panel,16,7.96,200,,,,,,,,,,46,,,,46,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,,"High river, fast flowing. Island mostly underwater. 

Egret, cormorant, and lots of mallards on the island. ",Y,Y,Y,Edge_Surface,1000,12:25,02:25,13:45,03:45,380,,,,,,,,,,,,,,,,,,"Pot 3 not taken as the water beyond the riverbank was too deep and fast flowing. 

Conductivity probe would not connect to the reader so measurement not taken. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S4-P2,,14/10/2023,BD,AM,URF-Site4_Downstream,10:00,51.560869,-0.028551,pizza.hips.panel,16,7.96,200,,,,,,,,,,46,,,,46,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,,"High river, fast flowing. Island mostly underwater. 

Egret, cormorant, and lots of mallards on the island. ",Y,Y,Y,Edge_Depth,1000,12:25,02:25,13:45,03:45,550,,,,,,,,,,,,,,,,,,"Pot 3 not taken as the water beyond the riverbank was too deep and fast flowing. 

Conductivity probe would not connect to the reader so measurement not taken. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S2-P1,,14/10/2023,BD,AM,URF-Site2_Mid,10:55,51.560869,-0.034491,trendy.event.counts,,,,,,,,,,,,,45,,,,45,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,,"Dog in water just before sampling. 

Newly felled tree just upstream of site. ",Y,Y,Y,Edge_Surface,1000,12:25,01:30,14:15,03:20,520,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Only three (larger) subsamples were taken as the river was too deep and fast-flowing beyond the third point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
